LogicApp,Workflow,TotalRuns,AvgRunsPer5Min,P95RunsPer5Min,PeakRunsPer5Min,AvgSec,P50Sec,P95Sec,P99Sec,MinSec,MaxSec
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-solace-mstrcnfg-polling",155,1,1,1,"7.29","5.63","13.42","47.63","3.45","60.96"
"logic-sfmarspulsesys-prod-eu2-01","wf-web-to-lead",155,"1.06",2,3,"6.15","5.43","10.12","19.2","4.07","23.78"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-data-usa",148,1,1,1,"8.63","6.77","11.06","45.85","4.7","130.65"
"logic-trextranssys-prod-eu2-01","wf-CustomerMaster",148,"2.74",2,88,"4.57","2.48","4.95","22.54","1.76","233.31"
"logic-sfmcconsentrcv-prod-eu2-01","wf-PetNutritionUnsubMsg",107,1,1,1,"39.68","7.32","163.35","640.96","0.8","696.34"
"logic-sscsys-prod-eu2-01","wf-createLeadsInTB",100,"2.56",4,5,"7.15","5.87","8.99","48.52","2.38","71.88"
"logic-itnryorchb2bprc-prod-eu2-01","wf-as2-idoc-rcvr",82,"3.57",8,11,"5.89","4.2","12.2","31.99","2.93","31.99"
"logic-itnryorchb2bprc-prod-eu2-01","wf-http-idoc-rcvr",77,"3.35",6,10,"4.37","3.28","8.81","17.43","1.98","17.43"
"logic-itnryorchb2bprc-prod-eu2-01","wf-prtnr-info-in-rslvr",72,"3.13",6,10,"1.93","1.63","3.42","11.5","0.85","11.5"
"logic-loadmgr-prod-eu2-01","ReceiveOrionJDARequest-wf",71,"1.04",1,3,"2.28","2.12","4.02","4.41","1.67","4.41"
"logic-itnryorchb2bprc-prod-eu2-01","wf-wmq-idoc-dlvry",66,3,5,10,"1.7","1.18","5.7","12.05","0.55","12.05"
"logic-monprrdpsdsys-prod-eu2-01","wf-lab-req-mon-sbq",66,11,22,22,"1.04","0.98","1.55","1.91","0.61","1.91"
"logic-itnryorchb2bprc-prod-eu2-01","wf-itnry-orch",61,"2.77",5,9,"15.8","12.94","35.87","43.79","9.46","43.79"
"logic-trextranssys-prod-eu2-01","wf-CustomerHierarchy",58,"1.93",2,2,"5.23","3.99","8.4",56,"2.72",56
"logic-monprrdpsdsys-prod-eu2-01","wf-lab-req-sbq-mq",53,"8.83",20,20,"1.78","1.46","3.65","3.83","0.95","3.83"
"logic-alssys-prod-eu2-01","wf-test-result-subscriber",48,1,1,1,"1.21","1.08","1.83","2.14","0.73","2.14"
"logic-monprrdpsdsys-prod-eu2-01","wf-lab-res-sbq-mon",47,"9.4",21,21,"2.46","2.81","4.09","4.35","0.69","4.35"
"logic-shopifyordsys-prod-eu2-01","wf-sales-order",35,"1.35",2,3,"2.43","1.34","9.71","10.01","1.04","10.01"
"logic-yrmsfccb2bsys-prod-eu2-01","wf-fetchOAuth-SFCC",34,"1.1",2,3,"3.9","2.09","13.23","26.21","0.85","26.21"
"logic-monprrdpsdsys-prod-eu2-01","wf-formula-foma",34,"2.62",8,8,"1.99","1.79","4.5","4.5","0.92","4.5"
"logic-sscsys-prod-eu2-01","wf-fetchLeadsFromSFSC-scheduler",29,1,1,1,"15.75","12.84","32.38","85.48","3.91","85.48"
"logic-alssys-prod-eu2-01","wf-lab-request-ack",27,1,1,1,"22.11","8.29","30.69","373.64","1.78","373.64"
"logic-trextranssys-prod-eu2-01","wf-Characteristics",23,"1.44",3,3,"10.4","9.69","15.66","15.75","6.31","15.75"
"logic-nomnomsys-prod-eu2-01","wf-gloviaom-sofulfilment-ack",17,"1.89",5,5,"1.67","1.21","4.3","4.3","0.76","4.3"
"logic-yrmsfccb2bsys-prod-eu2-01","wf-order-updates-sbq-SF",17,"1.13",3,3,"9.13","5.77","42.89","42.89","3.73","42.89"
"logic-whleslrb2bexp-prod-eu2-01","wf-order-submit-sbq-Parfetts",17,1,1,1,"2.93","2.1","10.91","10.91","1.54","10.91"
"logic-fabriqprmpssys-prod-eu2-01","wf-purging-tickets",17,1,1,1,"2.06","2.07","3.71","3.71","0.81","3.71"
"logic-yrmsfccb2bsys-prod-eu2-01","wf-order-submit-SF-Solace",17,1,1,1,"6.28","5.29","15.02","15.02","2.54","15.02"
"logic-whleslrb2bexp-prod-eu2-01","wf-order-updates-sbq-Solace",15,1,1,1,"2.56","1.66","10.52","10.52","1.13","10.52"
